ID,current.year,ejd,area,kom.t+1,flyt,income,wealth,pris.salg,vurdering
1,1995,6266,1,1,0,51978,820331,0,2831979
1,1996,6266,1,1,0,51562.1220146935,801194.012258282,0,0
1,1997,6266,1,4,0,53498.9867082826,786162.174004685,0,0
1,1998,1407,4,4,1,53934.3877764069,761666.73605307,651194,0
1,1999,1407,4,4,0,56281.4563230878,768216.434692264,0,0
1,2000,1407,4,4,0,54644.6344054616,762271.996514418,0,0
1,2001,1407,4,4,0,54408.9116554505,795512.267624824,0,0
1,2002,1407,4,4,0,52578.3629009099,817400.480472602,0,0
1,2003,1407,4,4,0,51674.9029177362,826704.185713278,0,0
1,2004,1407,4,2,0,51278.9699056903,804238.625343787,0,0
2,1995,8172,2,2,0,706571.054412052,769859.99883652,0,1578447
2,1996,8172,2,2,0,697668.165261129,761805.410626303,0,0
2,1997,8172,2,2,0,664012.739590745,772859.740514977,0,0
2,1998,8172,2,2,0,650917.140420884,796300.365514979,0,0
2,1999,8172,2,2,0,672995.584855841,770118.544939682,0,0
2,2000,8172,2,2,0,646934.120581057,802147.513643098,0,0
2,2001,8172,2,2,0,660696.5334269,765221.526923828,0,0
2,2002,8172,2,2,0,632284.323832866,738421.076803424,0,0
2,2003,8172,2,2,0,661962.779878872,728174.114109653,0,0
2,2004,8172,2,1,0,440289.834048599,702747.730072588,0,0
3,1995,2800,1,1,0,446726.474085465,683425.757515024,0,746858
3,1996,2800,1,1,0,445850.691097245,672025.233011636,0,0
3,1997,2800,1,1,0,453057.507094351,655008.137909088,0,0
3,1998,2800,1,1,0,452503.930392207,653927.369500449,0,0
3,1999,2800,1,1,0,447192.561199356,656144.648110435,0,0
3,2000,2800,1,6,0,435279.743263171,678968.530984731,0,0
3,2001,2612,6,6,1,449167.058356119,710570.153355558,1701049,0
3,2002,2612,6,6,0,469308.122327273,739019.603816795,0,0
3,2003,2612,6,6,0,483690.881761498,727489.060881634,0,0
3,2004,2612,6,2,0,666132.64917396,927278.130082414,0,0
4,1995,2612,2,2,0,676220.93126108,885525.905742171,0,1167561
4,1996,2612,2,2,0,707300.754988402,863041.939290781,0,0
4,1997,2612,2,2,0,718719.22763868,898350.120658476,0,0
4,1998,2612,2,2,0,746020.251936055,886749.21293125,0,0
4,1999,2612,2,2,0,763854.685017737,919589.763010801,0,0
4,2000,2612,2,2,0,789848.036663108,922934.062943486,0,0
4,2001,7908,2,2,0,812450.9343935,909906.487652166,0,0
4,2002,7908,2,2,0,842819.452641233,883357.055902066,0,0
4,2003,7908,2,2,0,108691.923087463,717587.878229097,0,0
4,2004,7908,2,6,0,113783.687309245,750577.330710993,0,0
5,1995,7908,6,6,0,115008.677566959,770553.439749119,0,1941771
5,1996,7908,6,3,0,117914.614047849,761914.131583028,0,0
5,1997,6850,3,3,1,121249.491449091,759311.098229449,649801,0
5,1998,6850,3,3,0,118209.56882204,758724.773906554,0,0
5,1999,6850,3,2,0,120975.397423833,773043.648302596,0,0
5,2000,3153,2,2,1,122758.859834092,775721.163808,870905,0
5,2001,6253,2,2,0,122537.222512725,794111.758937073,0,0
5,2002,6253,2,2,0,121872.615536583,819934.61044838,0,0
5,2003,6253,2,2,0,541200.340958312,371498.815948144,0,0
5,2004,2500,2,3,1,541872.922671061,382899.828469922,1682495,0
6,1995,6253,3,3,0,550676.195728957,361878.266723973,0,806428
6,1996,2500,3,3,0,556152.079397648,375351.675689452,0,0
6,1997,2500,3,3,0,534841.983166948,362766.948128331,0,0
6,1998,8325,3,3,0,557385.259816281,373472.466741992,0,0
6,1999,8325,3,3,0,558637.926384892,361405.722769384,0,0
6,2000,8325,3,3,0,579832.288332805,353750.664190749,0,0
6,2001,8325,3,3,0,556979.624164638,364348.082934994,0,0
6,2002,8325,3,3,0,548269.686950516,357896.401140785,0,0
6,2003,8325,3,3,0,564656.63317971,643806.218868122,0,0
6,2004,8210,3,6,1,584532.967367087,617947.531067709,1294118,0
7,1995,8210,6,6,0,562231.31000342,594179.386693452,0,880359
7,1996,8210,6,6,0,589011.568961209,618567.656925826,0,0
7,1997,8210,6,6,0,590223.061706665,598744.742096764,0,0
7,1998,8210,6,6,0,604878.214445623,628053.633813021,0,0
7,1999,8210,6,6,0,603090.113369281,647385.485532764,0,0
7,2000,8210,6,6,0,605517.02177519,677173.618686259,0,0
7,2001,8210,6,6,0,613509.068785734,681558.016622564,0,0
7,2002,8210,6,6,0,585933.764370391,686124.736419932,0,0
7,2003,8210,6,6,0,576991.952287691,720294.827979317,0,0
7,2004,8210,6,4,0,593689.534555671,693510.398600343,0,0
8,1995,8210,4,4,0,598510.107030054,693583.070889278,0,1381247
8,1996,8210,4,4,0,614451.642006943,671123.022345532,0,0
8,1997,9252,4,4,0,602179.790312611,640949.624170908,0,0
8,1998,9252,4,4,0,583898.175871926,633682.770359246,0,0
8,1999,9252,4,4,0,564767.719820897,642056.934494889,0,0
8,2000,9252,4,4,0,578350.547855732,632733.170895035,0,0
8,2001,9252,4,4,0,618967.507500201,670221.261680126,0,0
8,2002,9252,4,4,0,641868.108211087,667967.048212203,0,0
8,2003,445,4,4,0,662691.70867318,678051.652533795,0,0
8,2004,445,4,4,0,663818.669990754,647371.672176247,0,0
9,1995,445,4,4,0,654125.752389999,628151.133706984,0,2554074
9,1996,445,4,4,0,666197.401335559,600324.229755091,0,0
9,1997,445,4,4,0,633952.719240338,588271.152756981,0,0
9,1998,445,4,4,0,614135.506105904,592786.667891311,0,0
9,1999,445,4,4,0,638749.087546404,593090.478699442,0,0
9,2000,445,4,4,0,666698.020595681,605812.191474628,0,0
9,2001,445,4,4,0,84757.647709921,283950.038952753,0,0
9,2002,445,4,4,0,82177.9013636131,284675.388477211,0,0
9,2003,9106,4,4,0,85169.3344580274,287343.877928537,0,0
9,2004,9106,4,2,0,82595.7329548587,286232.990872488,0,0
10,1995,2660,2,2,1,342640,773809,1069721,867195
10,1996,2660,2,2,0,337417.108977867,744930.121439805,0,0
10,1997,2660,2,2,0,347866.307456129,763695.015058665,0,0
10,1998,2660,2,2,0,356442.282492815,734379.409479406,0,0
10,1999,2660,2,2,0,372551.521108149,769668.782200426,0,0
10,2000,2660,2,2,0,388181.161630962,767374.78090524,0,0
10,2001,1026,2,2,1,381637.929614253,756161.592105197,763660,0
10,2002,1026,2,2,0,371174.933987335,790427.30382254,0,0
10,2003,1026,2,2,0,367963.377917159,762200.208050322,0,0
10,2004,1026,2,4,0,365671.620817284,760891.685670976,0,0
11,1995,5964,4,4,0,771407,494403,0,2785295
11,1996,5964,4,4,0,754977.331723884,507147.487954895,0,0
11,1997,5964,4,4,0,765960.487532816,517338.789001755,0,0
11,1998,5964,4,4,0,799195.446588962,508222.161170501,0,0
11,1999,5964,4,4,0,765408.6574152,503246.57843897,0,0
11,2000,5964,4,4,0,783805.737365011,495329.129795485,0,0
11,2001,5964,4,4,0,798843.556551742,481381.191910914,0,0
11,2002,5964,4,4,0,815198.531471547,461182.595035174,0,0
11,2003,5964,4,4,0,841569.912498,438978.568214827,0,0
11,2004,5964,4,6,0,800335.40660732,455285.297581711,0,0
12,1995,1114,6,6,0,668939.261464402,463659.094532403,0,172360
12,1996,6034,6,6,0,653492,218118,0,0
12,1997,6034,6,6,0,667522.687920966,227284.992870074,0,0
12,1998,6034,6,6,0,650675.077327227,233298.680748826,0,0
12,1999,6034,6,6,0,619970.07211325,236723.339746755,0,0
12,2000,6034,6,6,0,611322.516900334,242188.942587071,0,0
12,2001,6034,6,6,0,604906.560773674,238033.760276797,0,0
12,2002,6034,6,6,0,614107.855462189,231917.339384965,0,0
12,2003,6034,6,6,0,612580.295665353,233188.621142759,0,0
12,2004,6034,6,3,0,628380.928345582,231891.026181584,0,0
13,1995,6034,3,3,0,642687.609681625,223861.065086766,0,361652
13,1996,4183,3,3,0,134560.546604916,216899.34368462,0,0
13,1997,8803,3,3,0,637531,761399,0,0
13,1998,8803,3,3,0,631116.544119947,734421.205924048,0,0
13,1999,8803,3,3,0,653598.050457831,763383.436916629,0,0
13,2000,8803,3,3,0,644956.291044307,740943.737734008,0,0
13,2001,8803,3,4,0,620641.633089982,716011.206195863,0,0
13,2002,4127,4,4,1,603440.18128153,748942.857449462,1544922,0
13,2003,4127,4,3,0,592149.273050948,768066.72277946,0,0
13,2004,9670,3,4,1,601367.177676634,738562.824027904,1491634,0
14,1995,9670,4,4,0,587266.89386286,726954.60463519,0,501729
14,1996,9670,4,4,0,596484.39954911,699610.561951763,0,0
14,1997,3008,4,4,0,11536.4997182041,666590.019902941,0,0
14,1998,7041,4,4,0,50664,518103,0,0
14,1999,7041,4,4,0,52912.8722325677,536540.311032866,0,0
14,2000,7041,4,4,0,53949.0053701687,529955.489688569,0,0
14,2001,7041,4,4,0,52548.1107523003,517835.626182549,0,0
14,2002,7041,4,1,0,51725.3426311305,529115.847666714,0,0
14,2003,2014,1,1,1,49160.7802328121,517922.790519463,1114340,0
14,2004,2014,1,2,0,48343.0015202456,497897.311720776,0,0
15,1995,2014,2,2,0,46792.6146996681,520476.738817513,0,2110200
15,1996,2014,2,3,0,44973.6658030108,539936.795273754,0,0
15,1997,5330,3,3,1,45198.0015603961,541534.875623012,1344039,0
15,1998,8814,3,3,0,882396.05538547,547968.065959527,0,0
15,1999,174,3,3,0,438803,919148,0,0
15,2000,174,3,3,0,426309.524886943,900026.112981809,0,0
15,2001,174,3,3,0,411988.510652644,921655.81425689,0,0
15,2002,174,3,3,0,402201.022277004,949298.372572006,0,0
15,2003,174,3,3,0,386857.675718851,905782.101818866,0,0
15,2004,174,3,2,0,375056.807561702,922322.365403068,0,0
16,1995,174,2,2,0,369741.276001201,903569.819029588,0,2229396
16,1996,4955,6,6,1,370015.298056297,902297.839299381,683122,0
16,1997,4955,6,6,0,356808.642611546,882930.272166267,0,0
16,1998,4955,6,6,0,358072.117741721,889228.313167127,0,0
16,1999,2175,6,6,0,29360.7390485704,882706.25564715,0,0
16,2000,4898,6,6,0,386470,460045,0,0
16,2001,4898,6,6,0,381818.243655279,480534.14441365,0,0
16,2002,4898,6,1,0,380464.566745664,490541.472981224,0,0
16,2003,7780,1,1,1,376610.837281633,492832.03183479,1531932,0
16,2004,7780,1,6,0,389706.135016998,485864.952225159,0,0
17,1995,7780,6,6,0,381980.91719772,501860.917495996,0,1825980
17,1996,7780,6,6,0,389466.549553017,485194.739287437,0,0
17,1997,7780,6,6,0,373853.076127298,474266.892277316,0,0
17,1998,7780,6,6,0,370419.179210757,460480.334713695,0,0
17,1999,7780,6,6,0,388838.98306424,478077.4937816,0,0
17,2000,1562,6,6,0,76101.2902949005,460186.881165436,0,0
17,2001,6593,6,6,0,780819,628435,0,0
